Title,Rating,Votes,Duration,Genre
Continental Split,3.6,587,1.466666667,Action
Speed 220,7.3,1700,1.9,Action
Warning 2,7.1,909,2.083333333,Action
6 Hours Away,3.9,269,1.55,Action
Road Wars: Max Fury,2,372,1.383333333,Action
The Last Ronin,4.9,609,1.916666667,Action
Turbo,5.9,4100,2.583333333,Action
Non Negotiable,5.4,1300,1.45,Action
Rats!,6.4,252,1.416666667,Action
Mechanic Rocky,6.3,3500,2.6,Action
Snatched,5.9,540,1.683333333,Action
Mathu Vadalara 2,7,1800,2.316666667,Action
The Last Stand of Ellen Cole,6.6,118,1.616666667,Action
Surrender,7.8,15,2.483333333,Action
The Firefighters,5.7,275,1.766666667,Action
Sons of Rizk 3,6.6,1800,2.083333333,Action
The Experts,6.2,317,2.016666667,Action
Bloody Beggar,6.2,4800,2.233333333,Action
Clone Cops,5.3,359,1.6,Action
Barroz: Guardian of Treasures,3.4,1100,2.583333333,Action
Ajay Gadu,7.2,2100,1.8,Action
The Grey Men,6.5,81,1.616666667,Action
Pottel,8,2800,2.466666667,Action
WWII: Operation Phoenix,4,110,1.766666667,Action
Hitler,5.2,322,2.133333333,Action
Taklee Genesis x Worlds Collide,5.4,444,2.433333333,Action
Top Floor,5.5,81,1.233333333,Action
Rajakili,4.9,630,2.033333333,Action
Dirty Money,5.6,232,1.666666667,Action
Viswam,4.2,658,2.583333333,Action
Bangkok Breaking: Heaven and Hell,5.8,707,2.433333333,Action
The Actor,3.4,739,2.133333333,Action
Anchakkallakokkan,6.6,1000,2.1,Action
The Wolf,3.5,43,1.45,Action
Saindhav,5,1700,2.3,Action
Ship of the Damned,2.8,313,1.466666667,Action
Eye for an Eye 2,6.6,587,1.5,Action
My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.7,11,0.916666667,Action
Gangs of Godavari,4.9,925,2.75,Action
Midas,4.6,357,1.416666667,Action
The Wild Blade of Strangers,6.2,125,1.7,Action
Everybody Loves Jenifa,7.4,107,2.25,Action
Lorry Chapter-1,7,3500,3.05,Action
Pimpinero: Blood and Oil,5.6,596,2.016666667,Action
Big Rage,3.5,181,1.916666667,Action
Hunt the Wicked,5.4,204,1.7,Action
Saint Young Men: Holy Men vs Demon Army,3.4,23,1.55,Action
Game On,5,2300,2.333333333,Action
Go for Broke,5.7,299,1.916666667,Action
Inanimate Insanity II: The Movie,8.3,269,1.766666667,Action
Genis Aile 4: Cevahir & Ulvi,4.6,300,1.5,Action
Chhota Bheem and the Curse of Damyaan,4.8,2300,2.416666667,Action
Lady Scorpions,3.6,382,1.683333333,Action
Love You to Debt,6.3,788,2.25,Action
Mahadev Ka Gorakhpur,7.2,413,2.183333333,Action
Tòkunbò,3.9,308,1.883333333,Action
The Captives,3.6,76,1.216666667,Action
The Lost Tiger,7.3,65,1.5,Action
