Title,Rating,Votes,Duration
239. Monster Mash,3.5, (472),1h 25m
240. Séance Games: Metaxu,3.2, (256),1h 26m
241. The Lost Daughter,5.6, (348),1h 39m
242. Freelance,4.8, (400),1h 50m
243. Bogieville,3.9, (678),1h 48m
244. Another Cabin in the Woods Movie,4.7, (246),1h 17m
245. Terminator: Skynet Rising,6.6, (304),1h 28m
246. Life of Belle,5.0, (736),1h 13m
247. Phallacies,8.7, (8),1h 41m
248. Invader,4.6, (176),1h 10m
249. Iconic,4.9, (471),1h 30m
250. Possession: Kerasukan,3.5, (313),1h 34m
251. Sakaratul Maut,5.4, (197),1h 47m
252. The Forbidden Camp: Mass Possession,6.1, (396),1h 52m
253. Down Below,2.6, (221),1h 33m
254. Drained,4.5, (339),1h 47m
255. Clickbait: Unfollowed,4.9, (622),1h 30m
256. Five Friends,6.7, (1K),1h 52m
257. Slay,6.5, (1.3K),1h 39m
258. Its Name Was Mormo,3.7, (197),1h 33m
259. Riders,6.3, (536),1h 45m
260. Protein,6.8, (87),1h 40m
261. Sam and Colby: The Legends of the Paranormal,4.8, (321),1h 38m
262. Territory,4.7, (96),1h 33m
263. Lumina,2.2, (725),1h 53m
264. Buzz House: The Movie,3.2, (1.4K),1h 33m
265. Suckers,2.3, (134),1h 7m
266. Angels Fallen: Warriors of Peace,4.8, (6.5K),1h 43m
267. Last Stop: Rocafort St.,4.1, (526),1h 29m
268. Dagr,4.2, (2.8K),1h 17m
269. Crackcoon,3.6, (479),1h 28m
270. Pusaka,5.2, (210),1h 30m
271. The Curse of the Necklace,4.5, (1.5K),1h 39m
272. Broken Bird,5.8, (130),1h 39m
273. Amp House Massacre,3.8, (201),1h 20m
275. Black Spines,6.9, (25),1h 40m
276. Cinderella's Revenge,3.7, (1.2K),1h 25m
277. Name the Demon,3.5, (182),1h 17m
278. Bhavanam: The Haunted House,6.5, (19),2h 19m
279. The Seductress from Hell,6.1, (23),1h 42m
281. Xoftex,6.0, (66),1h 39m
282. Pinnil Oral,7.4, (433),2h 7m
284. Do Not Enter,5.3, (701),1h 25m
285. We Are Wolves,3.4, (285),1h 37m
